location,site_id,elevation,lat,lon
Adelaide,023034,2.0,-34.9524,138.5196
Albany,009500,3.0,-35.0289,117.8808
Albury,072160,163.5,-36.0662,146.9530
AliceSprings,015590,546.0,-23.7951,133.8890
BadgerysCreek,067108,81.2,-33.8969,150.7281
Ballarat,089002,435.2,-37.5127,143.7911
Bendigo,081123,209.2,-36.7411,144.3274
Brisbane,040842,4.5,-27.3917,153.1292
Cairns,031011,2.2,-16.8736,145.7458
Canberra,070351,577.1,-35.3106,149.1970
Cobar,048237,218.0,-31.5388,145.7964
CoffsHarbour,059040,5.0,-30.3107,153.1187
Dartmoor,090194,51.0,-37.9222,141.2614
Darwin,014015,30.4,-12.4239,130.8925
GoldCoast,040764,3.0,-27.9390,153.4283
Hobart,094008,4.0,-42.8339,147.5033
Katherine,014932,133.6,-14.5229,132.3826
Launceston,091311,166.9,-41.5476,147.2156
Melbourne,086338,7.5,-37.8255,144.9816
MelbourneAirport,086282,113.4,-37.6654,144.8329
Mildura,076031,50.0,-34.2358,142.0867
Moree,053115,213.0,-29.4898,149.8471
MountGambier,026021,63.0,-37.7473,140.7739
MountGinini,070349,1760.0,-35.5293,148.7721
Newcastle,061055,33.0,-32.9184,151.7985
Nhil,078015,138.9,-36.3093,141.6486
NorahHead,061366,18.8,-33.2814,151.5766
NorfolkIsland,200288,111.7,-29.0389,167.9408
Nuriootpa,023373,275.0,-34.4761,139.0056
PearceRAAF,009053,40.0,-31.6669,116.0189
Penrith,067113,24.7,-33.7195,150.6783
Perth,009225,24.9,-31.9192,115.8728
PerthAirport,009021,15.4,-31.9275,115.9764
Portland,090171,80.9,-38.3148,141.4705
Richmond,067105,19.0,-33.6004,150.7761
Sale,085072,4.6,-38.1156,147.1323
SalmonGums,012071,249.0,-32.9869,121.6239
Sydney,066214,43.4,-33.8593,151.2048
SydneyAirport,066037,6.0,-33.9465,151.1731
Townsville,032040,4.3,-19.2483,146.7661
Tuggeranong,070339,586.7,-35.4184,149.0937
Uluru,015635,492.0,-25.1896,130.9737
WaggaWagga,072150,212.0,-35.1583,147.4575
Walpole,009998,73.0,-34.9469,116.7222
Watsonia,086068,66.1,-37.7408,145.0972
Williamtown,061078,7.5,-32.7939,151.8364
Witchcliffe,109521,84.5,-34.0258,115.0637
Wollongong,068219,449.0,-34.2625,150.8752
Woomera,016001,166.6,-31.1558,136.8054
