variable,season_label,support,missing_pct
cloud_3pm,Autumn,37397,0.40417680562611974
cloud_3pm,Spring,34610,0.4041317538283733
cloud_3pm,Summer,34256,0.4188755254553947
cloud_3pm,Winter,36518,0.3735965825072567
cloud_9am,Autumn,37397,0.3818755515148274
cloud_9am,Spring,34610,0.3792256573244727
cloud_9am,Summer,34256,0.38781527323680526
cloud_9am,Winter,36518,0.3550577797250671
evaporation,Autumn,37397,0.43439313313902184
evaporation,Spring,34610,0.4198208610228258
evaporation,Summer,34256,0.4330336291452592
evaporation,Winter,36518,0.4171641382332001
humidity_3pm,Autumn,37397,0.02743535577720138
humidity_3pm,Spring,34610,0.024703842819994222
humidity_3pm,Summer,34256,0.0234119570294255
humidity_3pm,Winter,36518,0.025384741771181336
humidity_9am,Autumn,37397,0.015856886916062785
humidity_9am,Spring,34610,0.009361456226524126
humidity_9am,Summer,34256,0.010129612330686596
humidity_9am,Winter,36518,0.01396571553754313
max_temp,Autumn,37397,0.0024600903815814104
max_temp,Spring,34610,0.0023692574400462295
max_temp,Summer,34256,0.0021602055114432507
max_temp,Winter,36518,0.002026397940741552
min_temp,Autumn,37397,0.0047329999732598875
min_temp,Spring,34610,0.003929500144466917
min_temp,Summer,34256,0.004729098552078468
min_temp,Winter,36518,0.004436168464866641
pressure_3pm,Autumn,37397,0.09570286386608551
pressure_3pm,Spring,34610,0.0998844264663392
pressure_3pm,Summer,34256,0.10024521251751518
pressure_3pm,Winter,36518,0.09614436716139986
pressure_9am,Autumn,37397,0.09580982431745862
pressure_9am,Spring,34610,0.09973995954926322
pressure_9am,Summer,34256,0.10088743577767398
pressure_9am,Winter,36518,0.09647297223287146
rain_today,Autumn,37397,0.00992058186485547
rain_today,Spring,34610,0.009419242993354521
rain_today,Summer,34256,0.010071228397944885
rain_today,Winter,36518,0.009967687167971959
rainfall,Autumn,37397,0.00992058186485547
rainfall,Spring,34610,0.009419242993354521
rainfall,Summer,34256,0.010071228397944885
rainfall,Winter,36518,0.009967687167971959
sunshine,Autumn,37397,0.48340775998074714
sunshine,Spring,34610,0.4709621496677261
sunshine,Summer,34256,0.47483652498832324
sunshine,Winter,36518,0.470233857275864
temp_3pm,Autumn,37397,0.01933310158568869
temp_3pm,Spring,34610,0.020369835307714534
temp_3pm,Summer,34256,0.01970457730032695
temp_3pm,Winter,36518,0.017060079960567392
temp_9am,Autumn,37397,0.007888333288766479
temp_9am,Spring,34610,0.0051141288644900315
temp_9am,Summer,34256,0.006451424567958898
temp_9am,Winter,36518,0.00577797250670902
wind_dir_3pm,Autumn,37397,0.025135706072679627
wind_dir_3pm,Spring,34610,0.025599537705865358
wind_dir_3pm,Summer,34256,0.022127510509107894
wind_dir_3pm,Winter,36518,0.0326962046114245
wind_dir_9am,Autumn,37397,0.0924673102120491
wind_dir_9am,Spring,34610,0.04128864490031783
wind_dir_9am,Summer,34256,0.03929238673517048
wind_dir_9am,Winter,36518,0.10351059751355496
wind_gust_dir,Autumn,37397,0.06278578495601252
wind_gust_dir,Spring,34610,0.06729268997399596
wind_gust_dir,Summer,34256,0.06752101821578702
wind_gust_dir,Winter,36518,0.0640779889369626
wind_gust_speed,Autumn,37397,0.06217076236061716
wind_gust_speed,Spring,34610,0.0667437156891072
wind_gust_speed,Summer,34256,0.06731667445119104
wind_gust_speed,Winter,36518,0.06377676762144696
wind_speed_3pm,Autumn,37397,0.015215124207824157
wind_speed_3pm,Spring,34610,0.02236347876336319
wind_speed_3pm,Summer,34256,0.019412657636618404
wind_speed_3pm,Winter,36518,0.017032696204611425
wind_speed_9am,Autumn,37397,0.007086129903468193
wind_speed_9am,Spring,34610,0.011210632765096793
wind_speed_9am,Summer,34256,0.010859411489957964
wind_speed_9am,Winter,36518,0.008844953173777315
