variable,missing_pct_overall,missing_pct_rainy_days,missing_pct_non_rainy_days,rainy_minus_non_rainy_missing_pct
wind_gust_dir,0.06534482879374706,0.07691348402182385,0.06199302657489206,0.014920457446931795
rainfall,0.009847248583495003,0.02107560405300078,0.006594041876682384,0.014481562176318394
rain_today,0.009847248583495003,0.02107560405300078,0.006594041876682384,0.014481562176318394
wind_gust_speed,0.06492460481436606,0.07613406079501168,0.06167687388217441,0.014457186912837275
evaporation,0.42612812629131325,0.4370381917381138,0.42296713818582554,0.01407105355228827
wind_dir_3pm,0.02646010323502427,0.03282930631332814,0.02461474536158835,0.008214560951739787
humidity_3pm,0.02528347609275744,0.030054559625876852,0.02390114356945423,0.006153416056422622
humidity_9am,0.012424622323698531,0.016648480124707717,0.011200838256282406,0.00544764186842531
temp_3pm,0.019092176129877226,0.02313328137178488,0.017921341210051848,0.0052119401617330315
temp_9am,0.006331374622673885,0.009290724863600936,0.005473958051054144,0.003816766812546792
wind_speed_3pm,0.018419817762867607,0.021293842556508184,0.017587122649178905,0.0037067199073292784
wind_speed_9am,0.00944103207009336,0.010600155884645362,0.009105197550268278,0.0014949583343770844
min_temp,0.0044613779144283905,0.005455962587685113,0.004173215543872961,0.0012827470438121526
max_temp,0.0022552020226780873,0.0017147310989867497,0.002411793398731776,-0.0006970622997450264
pressure_3pm,0.09791919092876503,0.09705378020265004,0.0981699275558687,-0.0011161473532186605
pressure_9am,0.09815031411742459,0.09674201091192518,0.09855834372120752,-0.0018163328092823394
sunshine,0.47496515642837633,0.4693998441153546,0.47657760193666104,-0.007177757821306419
wind_dir_9am,0.0701283784257009,0.0598908807482463,0.07309450255632034,-0.013203621808074044
cloud_9am,0.37579930102744763,0.350896336710834,0.3830144707603924,-0.03211813404955843
cloud_3pm,0.39987113131298985,0.3613094310210444,0.41104366520333135,-0.04973423418228695
